trial,answer,height,width,x1,y1,stim_color1,probe_color1,x2,y2,stim_color2,probe_color2,x3,y3,stim_color3,probe_color3,x4,y4,stim_color4,probe_color4,x5,y5,stim_color5,probe_color5
34,probe4,0.05,0.05,0,-0.1,#56b4e9,#56b4e9,0.1,-0.1,#cc79a7,#cc79a7,0.1,-0.2,#f0e442,#f0e442,-0.2,0,#e69f00,#0072b2,0.1,0.1,#000000,#000000
35,probe4,0.05,0.05,0,0.1,#000000,#000000,0.2,0.1,#56b4e9,#56b4e9,-0.1,-0.1,#0072b2,#0072b2,0.1,-0.1,#d55e00,#f0e442,-0.1,0.1,#cc79a7,#cc79a7
36,probe1,0.05,0.05,0.2,0.1,#f0e442,#cc79a7,-0.1,0.1,#000000,#000000,0.2,-0.2,#009e73,#009e73,-0.1,0,#e69f00,#e69f00,0.1,-0.1,#56b4e9,#56b4e9
37,probe1,0.05,0.05,0.2,0,#e69f00,#0072b2,0,-0.1,#009e73,#009e73,0,-0.2,#000000,#000000,0.2,0.1,#d55e00,#d55e00,-0.2,0.1,#f0e442,#f0e442
38,probe1,0.05,0.05,0,0.1,#0072b2,#f0e442,-0.2,-0.1,#cc79a7,#cc79a7,0.2,0,#56b4e9,#56b4e9,0.2,0.2,#000000,#000000,0.2,-0.2,#009e73,#009e73
39,probe4,0.05,0.05,0.2,0,#cc79a7,#cc79a7,0.1,-0.1,#009e73,#009e73,0.2,-0.1,#000000,#000000,0,0.2,#f0e442,#d55e00,0.1,0.1,#0072b2,#0072b2
40,probe3,0.05,0.05,-0.1,-0.1,#000000,#000000,-0.2,0,#0072b2,#0072b2,0.1,0.1,#56b4e9,#f0e442,0,0.1,#009e73,#009e73,-0.2,0.2,#e69f00,#e69f00
41,probe5,0.05,0.05,0.2,-0.2,#f0e442,#f0e442,0.2,-0.1,#e69f00,#e69f00,-0.1,-0.2,#56b4e9,#56b4e9,0.1,0,#000000,#000000,0,0.1,#009e73,#d55e00
42,probe4,0.05,0.05,-0.2,-0.1,#f0e442,#f0e442,-0.1,0.2,#e69f00,#e69f00,-0.2,0,#d55e00,#d55e00,0,-0.2,#56b4e9,#0072b2,-0.2,0.2,#009e73,#009e73
43,probe5,0.05,0.05,0.1,0.2,#f0e442,#f0e442,-0.2,-0.1,#56b4e9,#56b4e9,0.2,-0.1,#cc79a7,#cc79a7,0.1,0,#000000,#000000,0.1,0.1,#009e73,#d55e00
44,probe3,0.05,0.05,-0.2,-0.2,#cc79a7,#cc79a7,0,0.1,#000000,#000000,0.2,-0.1,#e69f00,#f0e442,0.1,-0.2,#56b4e9,#56b4e9,0,-0.1,#d55e00,#d55e00
45,probe4,0.05,0.05,-0.1,0,#0072b2,#0072b2,-0.2,0.2,#f0e442,#f0e442,0.1,-0.2,#e69f00,#e69f00,0.1,0.1,#000000,#009e73,-0.1,0.1,#56b4e9,#56b4e9
46,probe3,0.05,0.05,0.1,-0.1,#f0e442,#f0e442,0.1,0,#000000,#000000,0.1,0.2,#cc79a7,#e69f00,-0.1,-0.1,#009e73,#009e73,0.2,0.1,#d55e00,#d55e00
47,probe5,0.05,0.05,0.2,-0.1,#0072b2,#0072b2,0.2,-0.2,#f0e442,#f0e442,0.1,0.1,#56b4e9,#56b4e9,-0.1,-0.1,#d55e00,#d55e00,0.1,-0.1,#cc79a7,#009e73
48,probe2,0.05,0.05,0.1,-0.2,#000000,#000000,0.1,0.2,#0072b2,#f0e442,0.2,0.2,#009e73,#009e73,-0.2,-0.1,#e69f00,#e69f00,0.1,0,#d55e00,#d55e00
49,probe5,0.05,0.05,0.2,0.2,#009e73,#009e73,0,-0.2,#000000,#000000,0.2,0.1,#0072b2,#0072b2,-0.1,-0.2,#cc79a7,#cc79a7,0,0.1,#56b4e9,#d55e00
50,probe3,0.05,0.05,-0.2,0.2,#e69f00,#e69f00,0.2,-0.1,#cc79a7,#cc79a7,0.1,-0.2,#000000,#009e73,0.1,0.2,#f0e442,#f0e442,-0.2,-0.1,#0072b2,#0072b2
